Date,EC,JY,BP,
20100104,0,1,0,499400.0
20100105,0,1,0,498212.0
20100106,0,1,0,499125.0
20100107,0,1,0,500588.0
20100108,0,1,0,499575.0
20100111,0,1,0,498762.0
20100112,0,1,0,497088.0
20100113,0,1,0,497712.0
20100114,0,1,0,497425.0
20100115,0,1,0,496875.0
20100119,0,1,0,497375.0
20100120,0,1,0,497462.0
20100121,1,1,0,496638.0
20100122,1,0,0,495838.0
20100125,1,0,0,495625.0
20100126,1,0,0,496638.0
20100127,1,0,0,497238.0
20100128,1,0,0,497875.0
20100129,1,0,0,499275.0
20100201,1,0,0,498350.0
20100202,1,0,0,497938.0
20100203,1,0,0,498812.0
20100204,1,0,0,500975.0
20100205,1,0,1,502206.0
20100208,1,0,1,503075.0
20100209,1,0,1,500306.0
20100210,1,0,1,501875.0
20100211,1,0,1,501756.0
20100212,1,0,1,502762.0
20100216,1,0,1,500200.0
20100217,1,0,1,503044.0
20100218,1,0,1,504931.0
20100219,1,0,1,504188.0
20100222,1,0,1,504269.0
20100223,1,0,1,505762.0
20100224,1,0,1,505462.0
20100225,1,0,1,506238.0
20100226,1,0,1,505394.0
20100301,1,0,1,507806.0
20100302,1,0,1,507244.0
20100303,1,0,1,505431.0
20100304,1,0,1,507306.0
20100305,1,0,1,506131.0
20100308,1,0,1,506431.0
20100309,1,0,1,507294.0
20100310,1,0,1,506650.0
20100311,1,0,1,505894.0
20100312,1,0,1,503888.0
20100315,1,0,1,505919.0
20100316,1,0,1,503719.0
20100317,1,0,1,503512.0
20100318,1,0,1,505606.0
20100319,1,0,1,508062.0
20100322,1,0,1,507131.0
20100323,1,0,1,508212.0
20100324,1,0,1,511681.0
20100325,1,0,1,512544.0
20100326,1,0,1,510262.0
20100329,1,0,1,508850.0
20100330,1,0,1,509131.0
20100331,1,0,1,507219.0
20100401,1,1,1,506088.0
20100405,1,1,1,508112.0
20100406,1,1,1,508694.0
20100407,1,1,1,508806.0
20100408,1,1,1,508306.0
20100409,1,1,1,505606.0
20100412,1,1,1,504762.0
20100413,1,1,1,504269.0
20100414,1,1,1,503344.0
20100415,1,1,1,503894.0
20100416,1,1,1,504394.0
20100419,1,1,1,504900.0
20100420,1,1,1,506794.0
20100421,1,1,1,506975.0
20100422,1,1,1,508738.0
20100423,1,1,1,508250.0
20100426,1,1,1,507906.0
20100427,1,1,1,510531.0
20100428,1,1,1,511475.0
20100429,1,1,1,510512.0
20100430,1,1,1,509925.0
20100503,1,1,1,512319.0
20100504,1,1,1,515450.0
20100505,1,1,1,516825.0
20100506,1,1,1,516188.0
20100507,1,0,1,514856.0
20100510,1,0,1,514331.0
20100511,1,0,1,515000.0
20100512,1,0,1,516662.0
20100513,1,0,1,518944.0
20100514,1,0,1,521531.0
20100517,1,0,1,521494.0
20100518,1,0,1,524856.0
20100519,1,0,1,521475.0
20100520,1,0,1,521094.0
20100521,1,0,1,519481.0
20100524,1,0,1,522150.0
20100525,1,0,1,522881.0
20100526,1,0,1,524812.0
20100527,1,0,1,521281.0
20100528,1,0,1,523281.0
20100601,1,0,1,522494.0
20100602,1,0,1,522231.0
20100603,1,0,1,523638.0
20100604,1,0,1,526975.0
20100607,1,0,1,527456.0
20100608,1,0,1,527488.0
20100609,1,0,1,526344.0
20100610,1,0,1,523444.0
20100611,1,0,1,524606.0
20100614,1,0,1,522025.0
20100615,1,0,1,520162.0
20100616,1,0,1,520950.0
20100617,1,0,1,519450.0
20100618,1,0,1,519425.0
20100621,1,0,1,520844.0
20100622,1,0,1,521106.0
20100623,1,0,1,519538.0
20100624,1,0,0,519206.0
20100625,1,0,0,518544.0
20100628,1,0,0,519806.0
20100629,1,0,0,520781.0
20100630,1,1,0,520581.0
20100701,1,1,0,518419.0
20100702,1,1,0,517656.0
20100706,1,1,0,517231.0
20100707,1,1,0,516781.0
20100708,1,1,0,514981.0
20100709,1,1,0,515269.0
20100712,1,1,0,515894.0
20100713,1,1,0,514081.0
20100714,1,1,0,514144.0
20100715,1,1,0,513444.0
20100716,0,1,0,514869.0
20100719,0,1,0,514719.0
20100720,0,1,0,513356.0
20100721,0,1,0,514144.0
20100722,0,1,0,514231.0
20100723,0,1,0,513406.0
20100726,0,1,0,514331.0
20100727,0,1,0,512669.0
20100728,0,1,0,513406.0
20100729,0,1,0,514506.0
20100730,0,1,0,515044.0
20100802,0,1,0,515006.0
20100803,0,1,1,516556.0
20100804,0,1,1,515369.0
20100805,0,1,1,516181.0
20100806,0,1,1,516975.0
20100809,0,1,1,515944.0
20100810,0,1,1,516588.0
20100811,0,1,1,515519.0
20100812,0,1,1,514081.0
20100813,0,1,1,513694.0
20100816,0,1,1,515575.0
20100817,0,1,1,514719.0
20100818,0,1,1,514900.0
20100819,0,1,1,515019.0
20100820,0,1,1,514256.0
20100823,0,1,1,514931.0
20100824,0,1,1,516294.0
20100825,0,1,1,515625.0
20100826,0,1,1,516231.0
20100827,0,1,1,514769.0
20100830,0,1,1,515531.0
20100831,0,1,1,515569.0
20100901,0,1,1,515806.0
20100902,0,1,1,515725.0
20100903,0,1,1,516069.0
20100907,0,1,1,516312.0
20100908,0,1,1,516994.0
20100909,0,1,1,516862.0
20100910,0,1,1,515719.0
20100913,0,1,1,517012.0
20100914,0,1,1,518875.0
20100915,0,1,1,514681.0
20100916,0,1,1,514650.0
20100917,0,1,1,514538.0
20100920,0,1,1,514262.0
20100921,0,1,1,515725.0
20100922,0,1,1,516975.0
20100923,1,1,1,516362.0
20100924,1,1,1,519681.0
20100927,1,1,1,519125.0
20100928,1,1,1,521344.0
20100929,1,1,1,522019.0
20100930,1,1,1,521994.0
20101001,1,1,1,525094.0
20101004,1,1,1,523625.0
20101005,1,1,1,526188.0
20101006,1,1,1,527862.0
20101007,1,1,1,528606.0
20101008,1,1,1,529719.0
20101011,1,1,1,528731.0
20101012,1,1,1,529519.0
20101013,1,1,1,530325.0
20101014,1,1,1,533181.0
20101015,1,1,1,531631.0
20101018,1,1,1,530862.0
20101019,1,1,1,526556.0
20101020,1,1,1,531344.0
20101021,1,1,1,529456.0
20101022,1,1,1,529694.0
20101025,1,1,1,531150.0
20101026,1,1,1,529412.0
20101027,1,1,1,527219.0
20101028,1,1,1,531681.0
20101029,1,1,1,533744.0
20101101,1,1,1,532806.0
20101102,1,1,1,534394.0
20101103,1,1,1,535062.0
20101104,1,1,1,537675.0
20101105,1,1,1,533962.0
20101108,1,1,1,532512.0
20101109,1,1,1,528706.0
20101110,1,1,1,528688.0
20101111,1,1,1,526838.0
20101112,1,1,1,527044.0
20101115,1,1,1,524338.0
20101116,1,1,1,521688.0
20101117,1,1,1,522481.0
20101118,1,1,1,524094.0
20101119,1,0,1,524088.0
20101122,1,0,1,523425.0
20101123,1,0,1,519069.0
20101124,0,0,0,519062.0
20101126,0,0,0,519062.0
20101129,0,0,0,519062.0
20101130,0,0,0,519062.0
20101201,0,0,0,519062.0
20101202,0,0,0,519062.0
20101203,0,0,0,519062.0
20101206,0,0,0,519062.0
20101207,0,0,0,519062.0
20101208,0,0,0,519062.0
20101209,0,0,0,519062.0
20101210,0,0,0,519062.0
20101213,0,0,0,519062.0
20101214,0,0,0,519062.0
20101215,0,0,0,519062.0
20101216,0,0,0,519062.0
20101217,0,0,0,519062.0
20101220,0,0,0,519062.0
20101221,0,0,0,519062.0
20101222,0,0,0,519062.0
20101223,0,0,0,519062.0
20101227,0,0,0,519062.0
20101228,0,0,0,519062.0
20101229,0,0,0,519062.0
20101230,0,0,0,519062.0
20101231,0,0,0,519062.0
20110103,0,0,0,519062.0
20110104,0,0,0,519062.0
20110105,0,0,0,519062.0
20110106,0,0,0,519062.0
20110107,0,0,0,519062.0
20110110,0,0,0,519062.0
20110111,0,0,0,519062.0
20110112,0,0,0,519062.0
20110113,0,0,0,519062.0
20110114,0,0,0,519062.0
20110118,0,0,0,519062.0
20110119,0,0,0,519062.0
20110120,0,0,0,519062.0
20110121,0,0,0,519062.0
20110124,0,0,0,519062.0
20110125,0,0,0,519062.0
20110126,0,0,0,519062.0
20110127,0,0,0,519062.0
20110128,0,0,0,519062.0
20110131,0,0,0,519062.0
20110201,0,0,0,519062.0
20110202,0,0,0,519062.0
20110203,0,0,0,519062.0
20110204,0,0,0,519062.0
20110207,0,0,0,519062.0
20110208,0,0,0,519062.0
20110209,0,0,0,519062.0
20110210,0,0,0,519062.0
20110211,0,0,0,519062.0
20110214,0,0,0,519062.0
20110215,0,0,0,519062.0
20110216,0,0,0,519062.0
20110217,0,0,0,519062.0
20110218,0,0,0,519062.0
20110222,0,0,0,519062.0
20110223,0,0,0,519062.0
20110224,0,0,0,519062.0
20110225,0,0,0,519062.0
20110228,0,0,0,519062.0
20110301,0,0,0,519062.0
20110302,0,0,0,519062.0
20110303,0,0,0,519062.0
20110304,0,0,0,519062.0
20110307,1,0,0,518738.0
20110308,1,0,0,517925.0
20110309,1,0,0,517962.0
20110310,1,0,0,516625.0
20110311,1,0,0,517788.0
20110314,1,0,0,519088.0
20110315,1,0,0,519150.0
20110316,1,1,0,519175.0
20110317,1,1,0,522588.0
20110318,1,1,0,520712.0
20110321,1,1,0,521412.0
20110322,1,1,0,521400.0
20110323,1,1,0,520538.0
20110324,1,1,0,521100.0
20110325,1,1,0,518800.0
20110328,1,1,0,518662.0
20110329,1,1,0,517088.0
20110330,1,0,0,517362.0
20110331,1,0,0,517838.0
